Source,Target,weight
1614,405,0.073
1737,405,0.19399999999999998
1614,1484,0.053
956,1484,0.129
1627,1484,0.098
1492,1488,0.569
1501,1488,0.366
1829,1488,0.23399999999999999
771,1488,0.452
1492,1435,0.42200000000000004
1276,1435,0.141
804,1435,0.27
2037,1435,0.447
1829,1435,0.231
1492,1122,0.42200000000000004
1682,1122,0.34600000000000003
1678,1122,0.26899999999999996
1501,1122,0.24100000000000002
582,1122,0.254
1492,1471,0.37799999999999995
1682,1471,0.345
1678,1471,0.225
582,1471,0.253
136,1471,0.40299999999999997
1492,1297,0.373
1501,1297,0.213
114,1297,0.28300000000000003
1492,771,0.354
875,771,0.25
69,771,0.25
1492,1829,0.335
88,1829,0.149
155,1829,0.10300000000000001
1492,1219,0.33299999999999996
17,1219,0.198
804,1219,0.426
1492,1226,0.33299999999999996
804,1226,0.426
1130,1226,0.295
1492,1227,0.33299999999999996
1130,1227,0.295
1022,1515,0.33
1516,1515,0.57
1026,1515,0.204
1022,1516,0.265
1515,1516,0.57
1026,1516,0.154
1022,1027,0.248
1516,1027,0.16399999999999998
56,1027,0.162
1515,1027,0.204
1022,1021,0.235
1516,1021,0.32299999999999995
56,1021,0.192
1515,1021,0.402
1022,1023,0.23199999999999998
1272,1023,0.163
1516,1023,0.226
41,1023,0.196
1515,1023,0.282
1022,196,0.22699999999999998
1022,197,0.20800000000000002
1022,198,0.19699999999999998
1022,1490,0.18600000000000003
788,1490,0.263
69,1490,0.7070000000000001
1591,1490,0.243
771,1490,0.354
1921,665,0.305
1922,665,0.258
1921,1919,0.259
665,1919,0.7070000000000001
1921,2104,0.20199999999999999
1922,2104,0.5479999999999999
665,2104,0.47100000000000003
1866,2104,0.156
1921,663,0.19899999999999998
1922,663,0.316
1921,199,0.183
1921,506,0.17300000000000001
42,506,0.5
1921,200,0.17300000000000001
1921,411,0.141
575,411,0.516
1921,384,0.141
266,384,0.207
1921,413,0.139
575,413,0.33799999999999997
5,201,0.19
5,485,0.027999999999999997
1972,485,0.307
24,485,0.049
29,485,0.027999999999999997
41,485,0.024
402,400,0.61
1737,400,0.52
402,399,0.606
404,399,0.192
1737,399,0.6890000000000001
402,403,0.499
1737,403,0.402
402,1737,0.44
404,1737,0.22399999999999998
405,1737,0.19399999999999998
2051,1737,0.162
402,401,0.309
1737,401,0.474
402,1171,0.287
217,1171,0.146
215,1171,0.13
2059,1171,0.111
405,1171,0.233
107,1171,0.124
402,1368,0.159
1737,1368,0.271
405,1368,0.298
127,1368,0.18
402,850,0.135
725,850,0.059000000000000004
1051,850,0.026000000000000002
1053,850,0.042
402,404,0.131
404,404,0.5
1737,404,0.22399999999999998
6,202,1.0
7,203,0.239
7,204,0.141
7,1992,0.129
53,1992,0.043
826,1992,0.066
1998,1992,0.48700000000000004
1690,1992,0.156
118,1992,0.038
138,1992,0.057999999999999996
1992,1992,3.312
7,542,0.11599999999999999
538,542,0.092
7,858,0.11199999999999999
450,858,0.139
7,408,0.08900000000000001
25,408,0.353
1058,408,0.251
398,408,0.414
7,1998,0.08800000000000001
72,1998,0.076
1998,1998,0.36200000000000004
131,1998,0.036000000000000004
1992,1998,0.48700000000000004
7,1994,0.083
1922,1994,0.055999999999999994
665,1994,0.152
1992,1994,0.557
7,1908,0.081
1998,1908,0.18600000000000003
158,1908,0.064
7,205,0.079
2128,2128,0.42200000000000004
63,2128,0.10300000000000001
64,2128,0.07200000000000001
2184,2128,0.034
1262,2128,0.028999999999999998
1335,2128,0.03
2120,2128,0.207
2128,206,0.361
2128,2120,0.207
18,2120,0.131
87,2120,0.16
133,2120,0.098
1564,2120,0.057999999999999996
2120,2120,0.6409999999999999
2128,1675,0.174
2185,1675,0.179
1962,1675,0.23600000000000002
292,1675,0.151
143,1675,0.063
145,1675,0.063
2128,207,0.166
2128,208,0.161
2128,680,0.134
63,680,0.426
2128,1101,0.122
102,1101,0.133
2128,2122,0.11
2120,2122,0.261
209,209,0.154
209,1590,0.037000000000000005
1590,1590,0.113
1007,1590,0.051
1255,1590,0.102
209,1234,0.021
426,1234,0.04
99,1234,0.021
1657,1234,0.043
209,709,0.021
709,709,0.11699999999999999
66,709,0.023
209,2203,0.019
31,2203,0.015
426,2203,0.03
78,2203,0.017
94,2203,0.013999999999999999
115,2203,0.024
122,2203,0.013000000000000001
142,2203,0.017
146,2203,0.024
148,2203,0.044000000000000004
149,2203,0.028999999999999998
150,2203,0.017
1234,2203,0.109
209,2200,0.015
27,2200,0.018000000000000002
699,2200,0.026000000000000002
142,2200,0.027999999999999997
180,2200,0.049
1234,2200,0.14400000000000002
2023,2025,0.816
1776,2025,0.184
741,2025,0.192
2023,864,0.447
2027,864,0.28300000000000003
866,864,0.22399999999999998
1776,864,0.168
862,864,0.17600000000000002
2023,210,0.267
2023,741,0.23600000000000002
2021,741,0.25
2027,741,0.149
866,741,0.11800000000000001
2023,1776,0.15
15,1776,0.095
71,1776,0.071
792,1776,0.19
151,1776,0.075
2023,1218,0.14300000000000002
42,1218,0.071
1622,1218,0.5489999999999999
1619,1218,0.376
2023,1831,0.128
15,1831,0.081
1776,1831,0.22899999999999998
71,1831,0.09
110,1831,0.128
155,1831,0.07200000000000001
2023,324,0.052000000000000005
709,324,0.094
957,1572,0.275
1370,1572,0.272
1332,1572,0.133
730,1572,0.396
957,612,0.273
1370,612,0.225
957,467,0.262
214,467,0.7340000000000001
957,1575,0.25
1370,1575,0.204
1332,1575,0.17
730,1575,0.295
957,1574,0.23199999999999998
1370,1574,0.247
1332,1574,0.102
730,1574,0.305
957,1375,0.22899999999999998
415,1375,0.33299999999999996
1221,1375,0.145
128,1375,0.172
957,211,0.225
957,212,0.221
957,213,0.198
957,214,0.192
217,215,0.8059999999999999
217,218,0.643
215,218,0.741
217,219,0.5529999999999999
215,219,0.624
217,220,0.201
215,220,0.267
217,222,0.151
215,222,0.134
217,216,0.135
217,901,0.11199999999999999
84,901,0.075
217,224,0.10300000000000001
215,224,0.106
217,1934,0.096
1818,1934,0.126
1937,1934,0.172
1821,1934,0.625
215,217,0.8059999999999999
215,221,0.161
215,223,0.11699999999999999
215,2105,0.113
370,2105,0.07400000000000001
48,2105,0.07400000000000001
1866,2105,0.156
8,225,0.816
8,1904,0.155
1898,1904,0.069
8,2132,0.057
712,2132,0.098
1262,2132,0.045
1417,2132,0.11
138,2132,0.045
1541,2132,0.094
2082,2132,0.315
1581,2132,0.218
2137,2132,0.17800000000000002
8,2140,0.023
19,2140,0.045
1865,2140,0.027999999999999997
38,2140,0.016
81,2140,0.013999999999999999
